Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,32.814499,32.886002,31.3755,31.849501,31.849501,186290000
1/5/2016,32.342999,32.345501,31.3825,31.689501,31.689501,116452000
1/6/2016,31.1,31.9895,31.015499,31.6325,31.6325,106584000
1/7/2016,31.09,31.5,30.2605,30.396999,30.396999,141498000
1/8/2016,30.983,31.207001,30.299999,30.352501,30.352501,110258000
1/11/2016,30.624001,30.9925,29.928499,30.886999,30.886999,97832000
1/12/2016,31.262501,31.2995,30.612,30.894501,30.894501,94482000
1/13/2016,31.044001,31.044001,28.958,29.0905,29.0905,153104000
1/14/2016,29.012501,30.112499,28.493999,29.65,29.65,144760000
1/15/2016,28.612,29.231001,28.264999,28.509001,28.509001,155690000
1/19/2016,28.8545,29.200001,28.3225,28.724001,28.724001,96144000
1/20/2016,28.218,28.922501,27.358999,28.588499,28.588499,159328000
1/21/2016,28.679001,29.4405,28.410999,28.750999,28.750999,99044000
1/22/2016,29.436501,30.004999,29.2055,29.819,29.819,102402000
1/25/2016,29.8995,30.424999,29.728001,29.8265,29.8265,87922000
1/26/2016,30.172501,30.225,29.518999,30.0625,30.0625,75314000
1/27/2016,30.099501,30.1695,28.938999,29.1675,29.1675,103058000
1/28/2016,30.418501,31.903,29.877501,31.7675,31.7675,280304000
1/29/2016,28.599001,29.65,28.5,29.35,29.35,293552000
2/1/2016,28.907499,29.09,28.515499,28.740499,28.740499,127102000
2/2/2016,28.5,28.577999,27.504499,27.605,27.605,126240000
2/3/2016,27.674999,27.799999,26.094999,26.553499,26.553499,200974000
2/4/2016,26.25,26.949499,25.961,26.813,26.813,123982000
2/5/2016,26.464001,26.4725,24.959499,25.106501,25.106501,194178000
2/8/2016,24.3235,24.674999,23.7605,24.405001,24.405001,196510000
2/9/2016,23.900499,24.919001,23.700001,24.1035,24.1035,141558000
2/10/2016,24.587999,25.233,24.299999,24.524,24.524,135724000
2/11/2016,24.5585,25.465,24.200001,25.191,25.191,147948000
2/12/2016,25.535,25.8375,25.074499,25.354,25.354,107696000
2/16/2016,25.974001,26.2225,25.583,26.055,26.055,102370000
2/17/2016,26.437,26.874001,25.9695,26.705,26.705,96480000
2/18/2016,27.0595,27.059999,26.186501,26.25,26.25,94700000
2/19/2016,26.0355,26.797501,25.7675,26.745001,26.745001,99494000
2/22/2016,27.110001,28.032499,27.054001,27.975,27.975,111332000
2/23/2016,27.7775,27.845501,27.2665,27.646999,27.646999,81016000
2/24/2016,27.2875,27.713499,26.657499,27.702,27.702,124634000
2/25/2016,27.775999,27.9695,27.2645,27.7575,27.7575,90510000
2/26/2016,28.006001,28.125,27.658501,27.761499,27.761499,97540000
2/29/2016,27.700001,28.240499,27.6255,27.625999,27.625999,82908000
3/1/2016,27.814501,28.9625,27.799999,28.952,28.952,100770000
3/2/2016,29.0875,29.25,28.684999,29.0105,29.0105,91644000
3/3/2016,28.898001,28.9935,28.6555,28.8745,28.8745,54826000
3/4/2016,29.053499,29.07,28.553499,28.757,28.757,68330000
3/7/2016,28.677,28.681499,27.7775,28.139999,28.139999,98538000
3/8/2016,27.893499,28.567499,27.737,28.013,28.013,94600000
3/9/2016,27.978001,28.0175,27.5065,27.973499,27.973499,87546000
3/10/2016,28.337,28.35,27.395,27.946501,27.946501,78398000
3/11/2016,28.3475,28.503,28.136499,28.480499,28.480499,75426000
3/14/2016,28.35,28.8445,28.1525,28.668501,28.668501,69084000
3/15/2016,28.549999,29.076,28.35,28.851,28.851,77536000
3/16/2016,28.832001,29.066,28.556999,28.713499,28.713499,70754000
3/17/2016,28.4755,28.57,27.7505,27.972,27.972,118562000
3/18/2016,28.047001,28.116501,27.304501,27.604,27.604,145938000
3/21/2016,27.445499,27.761999,26.929001,27.698999,27.698999,103114000
3/22/2016,27.255501,28.138,27.252501,28.024,28.024,80012000
3/23/2016,28.049999,28.624001,27.905001,28.481501,28.481501,79674000
3/24/2016,28.355499,29.1775,28.354,29.147499,29.147499,103710000
3/28/2016,29.219999,29.237499,28.778,28.9935,28.9935,62430000
3/29/2016,29.0075,29.7925,28.825001,29.693001,29.693001,87852000
3/30/2016,29.835501,30.162001,29.75,29.9345,29.9345,77810000
3/31/2016,29.964001,30.0375,29.6105,29.681999,29.681999,53636000
4/1/2016,29.5245,29.9515,29.415001,29.924999,29.924999,58348000
4/4/2016,29.950001,29.975,29.5275,29.6595,29.6595,49416000
4/5/2016,29.5385,29.6735,29.262501,29.306999,29.306999,46178000
4/6/2016,29.375999,30.119499,29.375,30.104,30.104,56998000
4/7/2016,29.938,29.98,29.454,29.571501,29.571501,63780000
4/8/2016,29.716,29.893,29.450001,29.73,29.73,51838000
4/11/2016,29.806999,30.200001,29.745501,29.796499,29.796499,54086000
4/12/2016,29.92,30.202999,29.615499,30.158501,30.158501,52822000
4/13/2016,30.384001,30.8405,30.2645,30.740999,30.740999,84566000
4/14/2016,30.7535,31.219,30.7535,31.0375,31.0375,70242000
4/15/2016,31.096001,31.338499,30.9055,31.2945,31.2945,57754000
4/18/2016,31.2675,31.882,31.247999,31.7675,31.7675,87218000
4/19/2016,31.857,31.900499,31.040001,31.395,31.395,81118000
4/20/2016,31.5,31.827499,31.15,31.6495,31.6495,52188000
4/21/2016,31.549999,31.891001,31.424999,31.549999,31.549999,51926000
4/22/2016,31.223499,31.4125,30.577999,31.025,31.025,101678000
4/25/2016,30.8305,31.349001,30.8125,31.309999,31.309999,53658000
4/26/2016,31.3085,31.3375,30.743999,30.844,30.844,50428000
4/27/2016,30.59,30.797501,30.063999,30.328501,30.328501,81376000
4/28/2016,30.777,31.34,29.959999,30.1,30.1,157452000
4/29/2016,33.299999,33.499001,32.700001,32.9795,32.9795,206214000
5/2/2016,33.195999,34.275002,33.101501,34.192501,34.192501,131570000
5/3/2016,33.868,34.014999,33.5215,33.566002,33.566002,98468000
5/4/2016,33.129501,33.700001,33.106998,33.544998,33.544998,92710000
5/5/2016,33.665501,33.824501,32.799999,32.954498,32.954498,97682000
5/6/2016,32.802502,33.8475,32.800499,33.697498,33.697498,87306000
5/9/2016,33.697498,34.348999,33.570499,33.987499,33.987499,79644000
5/10/2016,34.700001,35.227501,34.674999,35.1535,35.1535,122112000
5/11/2016,35.289501,35.950001,35.0825,35.661499,35.661499,146764000
5/12/2016,35.868999,36.122501,35.5755,35.8965,35.8965,100964000
5/13/2016,35.731998,35.962502,35.3255,35.495998,35.495998,95268000
5/16/2016,35.5065,35.662498,35.014,35.533001,35.533001,108658000
5/17/2016,35.494999,35.723499,34.695499,34.7635,34.7635,102428000
5/18/2016,34.478001,35.126999,34.438,34.872501,34.872501,85664000
