country,subdivision,temp_c,rel_humid,wind_speed,year
Brazil,Espirito Santo,25.79296351451973,81.55261210762332,7.6244427934621095,2002
Brazil,Espirito Santo,25.42129151291513,79.58113459399333,7.4119808893789045,2003
Brazil,Espirito Santo,24.563699889665315,80.5501973194341,7.526102941176471,2004
Brazil,Espirito Santo,25.0718940207662,81.31561549601739,7.320284697508897,2005
Brazil,Espirito Santo,24.994305917379975,78.44929640718563,7.670509483079211,2006
Brazil,Espirito Santo,24.914224856454897,76.61288311688311,8.344757317525008,2007
Brazil,Espirito Santo,25.143787455053936,76.22666977487678,7.564576634512326,2008
Brazil,Espirito Santo,25.65257550924842,74.78633064044024,7.679249706916765,2009
Brazil,Espirito Santo,24.754433082368806,77.91090796718733,7.603461841070024,2010
Brazil,Espirito Santo,24.048605174353206,79.39723140960739,6.883754918493536,2011
Brazil,Espirito Santo,25.07201384881708,76.88862996306555,7.250720300409649,2012
Brazil,Espirito Santo,24.884032428621783,77.52721908791725,6.885915808329601,2013
Brazil,Espirito Santo,24.975725952813068,71.16844242768009,7.73867240598097,2014
Brazil,Espirito Santo,24.74295814802144,73.56964069807232,8.201734367868553,2015
Brazil,Espirito Santo,25.184945463262615,77.36523552678892,7.858999202097344,2016
Brazil,Espirito Santo,24.385423806259997,78.95009252912953,7.5319853781128625,2017
Brazil,Espirito Santo,24.729413102820747,82.21890742857144,7.113442994895065,2018
Brazil,Espirito Santo,25.051670029141448,79.11076129610943,7.346881648191692,2019
Brazil,Minas Gerais,22.13680644884658,68.52514212108201,5.475796178343949,2001
Brazil,Minas Gerais,21.64668662262593,76.47317088280847,5.4601449275362315,2002
Brazil,Minas Gerais,21.2899801980198,76.86089368869513,5.709612188365651,2003
Brazil,Minas Gerais,20.728398357289528,82.09234079704191,5.606169296987088,2004
Brazil,Minas Gerais,21.016100307062434,83.2427002967359,5.617584852452413,2005
Brazil,Minas Gerais,20.80608704473978,78.4519190176578,4.752051048313582,2006
Brazil,Minas Gerais,22.0494558605951,66.05899868421052,5.18792321346394,2007
Brazil,Minas Gerais,21.521178218932256,70.6216921219608,4.809553262672552,2008
Brazil,Minas Gerais,21.780914758026707,72.00559178639057,4.994995537979667,2009
Brazil,Minas Gerais,21.847350993377486,66.7831929530812,5.700360678664753,2010
Brazil,Minas Gerais,21.455290632305964,67.7489821246808,5.630103313145707,2011
Brazil,Minas Gerais,21.533116931852298,66.36871886321401,5.744985137686713,2012
Brazil,Minas Gerais,21.926434754010135,68.74690040869004,5.870781032287063,2013
Brazil,Minas Gerais,22.838102750631784,62.453668668449275,6.0081722670707896,2014
Brazil,Minas Gerais,23.100253132910403,65.25989827012329,5.957197626224566,2015
Brazil,Minas Gerais,22.811996434626074,65.93187140249896,5.958442116945273,2016
Brazil,Minas Gerais,22.35591251106521,64.18018483674598,6.3180252787048214,2017
Brazil,Minas Gerais,22.552555070008026,66.25518393030009,5.787471039030476,2018
Brazil,Minas Gerais,23.03465138555128,64.00891585706121,5.92062995954229,2019
Brazil,Minas Gerais,22.423530065577413,66.91093504520528,5.752527231408197,2020
Brazil,Minas Gerais,22.249521870565736,64.40885618192478,5.486919463713566,2021
Brazil,Minas Gerais,22.058637130492187,66.0784133853647,5.549788384669645,2022
Brazil,Parana,21.247885145077912,78.5380224218632,5.2592802172928925,2002
Brazil,Parana,20.534485663016806,77.8423245678289,5.266400292718624,2003
Brazil,Parana,20.284404484404483,78.56637116757275,5.282465611595918,2004
Brazil,Parana,20.77240982205877,79.25453429281502,5.3846067834513605,2005
Brazil,Parana,20.49683760998417,77.13430029100822,5.151969146332418,2006
Brazil,Parana,20.48331139938585,75.44389730085582,5.612674732025324,2007
Brazil,Parana,20.09600729040097,75.40314453075258,5.767343004720362,2008
Brazil,Parana,19.986137339055794,78.4986935040385,5.9438551099611905,2009
Brazil,Parana,19.79163008929923,75.89629005608938,6.60765808569454,2010
Brazil,Parana,20.212746846013225,76.20988185063028,6.480555555555555,2011
Brazil,Parana,20.921031040612608,73.73301314228347,6.788095669505346,2012
Brazil,Parana,20.21004770423375,77.34647583231943,6.589940032208849,2013
Brazil,Parana,21.115019403847743,75.74187318326236,6.638310956236548,2014
Brazil,Parana,21.076014178810556,77.63379448287357,6.392002819120268,2015
Brazil,Parana,20.288556755636414,75.66432461070671,5.91619301838599,2016
Brazil,Parana,20.99083239980796,75.989973016236,6.216850986204538,2017
Brazil,Parana,20.83764319312223,76.56577888878834,5.830068582186562,2018
Brazil,Parana,21.57220766951518,74.81766138384229,6.1593882363028385,2019
Brazil,Parana,21.609615530446654,72.75499089483534,6.1364981410759,2020
Brazil,Parana,20.838655690247872,73.34315222800272,5.880029839949363,2021
Brazil,Parana,20.362546437014522,76.19359122792191,6.325392973942399,2022
Brazil,Sao Paulo,22.669105161356004,71.88868536371604,6.366806637774235,2001
Brazil,Sao Paulo,21.80066122988759,73.38155943870797,5.992165021468726,2002
Brazil,Sao Paulo,20.963336775889587,76.99731867718903,5.9815598050243715,2003
Brazil,Sao Paulo,20.55668792629994,78.3567900195001,6.66323418924294,2004
Brazil,Sao Paulo,20.808135111832428,77.25471162873309,5.803789378712313,2005
Brazil,Sao Paulo,21.076382285613665,75.21562096685388,5.191493097469438,2006
Brazil,Sao Paulo,21.879462746941275,71.09372461847562,5.312684113905136,2007
Brazil,Sao Paulo,21.632031136752385,74.11694695783306,5.201674929847774,2008
Brazil,Sao Paulo,21.86334632447448,77.54365812160886,4.941898942957024,2009
Brazil,Sao Paulo,21.996739095955594,72.63418319398878,5.293531115409689,2010
